,1,2,3,4,5,6,7,8,11,9,12,13,14,10,15,16,19,20,21,22,17,18,23,24,25,26,32,33,34,35,27,28,29,30,31,0,start,declaration,statement,statement',if',while',assignment,expression,conjunction,equality,relation,addition,a',term,f',factor,relation_op,eq_neg_op,add_sub_op,mul_div_op,literal,int_literal,bool_literal,float_literal,char_literal,type,identifier,letter,digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,r42,,,,,,,,,,,,,,,,,,,,,,,,r42,r42,r42,r42,,,,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,r43,,,,,,,,,,,,,,,,,,,,,,,,r43,r43,r43,r43,,,,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,r29,,,,r29,r29,,,,,,r29,r29,r29,r29,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,s51,r31,,,,r31,r31,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,,,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,,,,,97,,47,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,r46,r46,,,,r46,r46,,,,,,r46,r46,r46,r46,r46,r46,r46,r46,,,,,r46,r46,r46,r46,,,,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,r47,r47,,,,r47,r47,,,,,,r47,r47,r47,r47,r47,r47,r47,r47,,,,,r47,r47,r47,r47,,,,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,r33,,,,r33,r33,,,,,,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,s51,r35,,,,r35,r35,,,,,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,,,,,,,98,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,r48,r48,,,,r48,r48,,,,,,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,r48,r48,r48,r48,,,,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,r49,r49,,,,r49,r49,,,,,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,,,r49,r49,r49,r49,,,,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,s51,,,,,,,,,,,,,,,,,,,,,,,,s57,s58,s59,s60,,,,s23,s36,,,,,,,,,99,43,44,45,46,,47,,48,,,,,50,52,53,54,55,,49,22,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
